Country,Species,Scientific_Species,Genes,details_url,Institute,Editing_Method,Delivery,Foreign_DNA,Regulatory_Process,NGT
Norway,"Atlantic Salmon
          (",Salmo salar,slc45a2,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=202&RegProcess=0,"Agricultural Technology Research InstituteXiangshan Dist., HsinchuTW",Cloned cell line,"A pRSAD2-KI pig that constitutively overexpressed the pRSAD2 was cloned , viral challenge results indicated that fibroblasts isolated from the pRSAD2-KI pig reduced CSFV infection.",No,No,CRISPR
Taiwan,"Pig
          (",Sus scrofa domesticus,pRSAD2,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=184&RegProcess=0,University of StirlingStirlingUK,Embryo edit,Injecting Cas9 mRNA and sgRNAs into Nile tilapia embryos at 1 cell stage.,No,No,CRISPR
United Kingdom,"Nile tilapia
          (",Oreochromis niloticus,piwil2,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=109&RegProcess=0,"Washington State UniversityPullman, WA 99164US",Embryo edit,"Bovine zygotes were generated using an in vitro production system and electroporated with CRISPR-Cas9 reagents designed to edit the NANOS2 gene,",No,No,CRISPR
United States,"Cattle
          (",Bos taurus,NANOS2,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=45&RegProcess=0,"University of MarylandCollege Park, MD 20742US",Embryo edit,Presumptive zygotes were microinjected with a mixture of commercially sourced Cas9 RNP (Cas9 protein and sgRNA) and single-stranded DNA using a FemtoJet microinjector,No,No,CRISPR
United States,"Cattle
          (",Bos taurus,PRNP,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=51&RegProcess=0,"Auburn UniversityAuburn, AL 36849US",Embryo edit,"To insert the donor template carrying the cathelicidin gene, we used the small guide RNA (sgRNA) that directed Cas9 nuclease to that specific location in a non-coding region of chromosome 1. The designed sgRNA was co-injected with Cas9 along with each donor DNA constructs in different concentrations (10, 20, and 40 ng/ÂµL) into one cell embryos",Yes,No,CRISPR
United States,"Channel catfish
          (",Ictalurus punctatus,alligator cathelicidin,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=94&RegProcess=0,"Washington State UniversityPullman, WA 99164US",Cloned cell line,"To generate NANOS2 KO males for phenotyping and SSCT, somatic cell nuclear transfer (SCNT) was used (19) with the nuclear DNA donor deriving from XY fetal fibroblasts of Nubian Ã Boer crossbred male goats that were modified by CRISPRCas9 editing to possess 16-bp and 23-bp NANOS2 ? alleles (SI Appendix,Fig. S6). In total, 125 one-cell-stage cloned embryos were generated and surgically transferred into seven estrous synchronized recipients.At40to45dof gestation, five recipients were confirmed preg",No,No,CRISPR
United States,"Goat
          (",Capra hircus,NANOS2,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=69&RegProcess=0,Southwest University400715 ChongqingCN,Embryo edit,The gRNA and Cas9 mRNA were co-injected into one-cell stage embryos of tilapia,No,No,CRISPR
United States,"Nile tilapia
          (",Oreochromis niloticus,"rln3a, rln3b",https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=111&RegProcess=0,Southwest University400715 ChongqingCN,Embryo edit,The guide RNA and Cas9 mRNA were co-injected into one-cell-stage embryos,No,No,CRISPR
United States,"Nile tilapia
          (",Oreochromis niloticus,Tsp1a,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=114&RegProcess=0,"Washington State UniversityPullman, WA 99164US",Cloned cell line,cConed a founder male that possessed 150-bp and 4-bp ? NANOS2 alleles (boar #146) using somatic cell nuclear transfer.,No,No,CRISPR
United States,"Pig
          (",Sus scrofa domesticus,NANOS2,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=180&RegProcess=0,"Department of Animal Sciences, The Ohio State UniversityColumbus, OH 43210US",Other,"By injecting the recombinant adenovirus containing CRISPR/Cas9 into the quail blastoderm, potential germline chimeras were generated and offspring with three base-pair deletion in the targeted region of the MSTN gene was identified",No,No,CRISPR
United States,"Quail
          (",Coturnix japonica,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=74&RegProcess=0,Shanghai Ocean UniversityShanghai 201306CN,Embryo edit,The sgRNA and Cas9 protein were co-injected into the one-cell embryos,No,No,CRISPR
China,"Common Carp
          (",Cyprinus carpio,"ASIP 1, ASIP 2",https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=4&RegProcess=0,"Northwest A&F UniversityYangling 712100, ShaanxiCN",Embryo edit,"Initial transfections of the third generation Base Editor (BE3) plasmid and four different sgRNAs into caprine fibroblasts were ineffective in altering FGF5. In contrast, all five progenies produced from microinjected single-cell embryos had alleles with a targeted nonsense mutation.",No,No,CRISPR
China,"Goat
          (",Capra hircus,FGF5,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=58&RegProcess=0,Inner Mongolia UniversityHohhot 010021CN,Cloned cell line,Electroporation of fibroblast. Cas9 plasmid was utilized.,No,No,CRISPR
China,"Goat
          (",Capra hircus,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=63&RegProcess=0,Inner Mongolia UniversityHohhot 010021CN,Cloned cell line,,Yes,No,CRISPR
China,"Goat
          (",Capra hircus,Tβ4,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=70&RegProcess=0,"Agricultural University, NanchangJiangxi 330045CN",Embryo edit,"microinjecting sgRNA and Cas9 protein into the region of zygote formation within 2 hr after queen oviposition, which allows one-step generation of biallelic knockout mutants in honeybee with high efficiency.",No,No,CRISPR
China,"Honeybee
          (",Apis mellifera,Mrjp1,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=29&RegProcess=0,"Huazhong Agricultural UniversityWuhan, 437000, HubeiCN",Embryo edit,"One-cell stage fertilized eggs were fixed on an agarose gel block with size matched holes in a row. A 2 nL mix containing 50 ng/ÂµL gRNA and 150 ng/ÂµL Cas9 mRNA in RNase-free water was injected in every fertilized egg at the yolk/blastomere boundary through the chorion using picospritzer III microinjector (Parker Hannifin, S/N 1718) and needles produced from a microelectrode drawing apparatus (Sutter, P-2000). We were able to inject 10â20 eggs in 1 min.",No,No,CRISPR
China,"Loach
          (",Paramisgurnus dabryanus,TYR,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=142&RegProcess=0,Southwest University400715 ChongqingCN,Embryo edit,The guide RNA (gRNA) and Cas9 mRNA were co-injected into the one-cell stage embryos,No,No,CRISPR
China,"Nile tilapia
          (",Oreochromis niloticus,"esr1, esr2a, esr2b",https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=104&RegProcess=0,"University of ChinaQingdao, 266003CN",Embryo edit,microinjection of an optimized combination of sgRNA and Cas9 protein complexes,No,No,CRISPR
China,"Oyster
          (",Crassostrea gigas,"MSTN, twist",https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=75&RegProcess=0,"State Key Laboratory for Agrobiotechnology, College of Biological Sciences, China Agricultural UniversityBeijingCN",Cloned cell line,pX330-501 vector and a donor vector. pX330-501 vector was designed to target exon 7 of CD163,Yes,No,CRISPR
China,"Pig
          (",Sus scrofa domesticus,CD163,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=150&RegProcess=0,"State Key Laboratory for Agrobiotechnology, College of Biological Sciences, China Agricultural UniversityBeijingCN",Cloned cell line,,No,No,CRISPR
China,"Pig
          (",Sus scrofa domesticus,CD163,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=152&RegProcess=0,"Yat-sen UniversityGuangzhou, 510006CN",Cloned cell line,"PEFs were harvested, counted, and 1?Ã?106 cells were resuspended in 100 ÂµL of buffer R (Invitrogen, USA), that contains 5 Âµg of RGS reporter plasmid and 5 Âµg of each pX330-IGF2-sgRNA plasmid. The mixture was then transfected by electroporation at 1650 V for 10 ms in 3 pulses, using the Neon Transfection System",No,No,CRISPR
China,"Pig
          (",Sus scrofa domesticus,IGF2,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=164&RegProcess=0,Hunan Normal UniversityChangsha 410081CN,Embryo edit,Cas9 mRNA (300 ng ÂµL-1) plus the gRNA (30 ng ÂµL-1) of tyr gene was co-microinjected into one-cell embryos,No,No,CRISPR
China,"White crucian carp
          (",Carassius auratus civieri,TYR,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=71&RegProcess=0,"University of South Bohemia in Ceske BudejoviceZÃ¡tiÅ¡Ã­ 728/II, 389 25 VodnanyCZ",Embryo edit,Embryos at the 1 cell stage were injected with prepared complex of mixture all five sgRNAs and Cas9 protein (gRNAs+Cas9 ribonucleoprotein complex) in animal pole,No,No,CRISPR
Czech Republic,"Sterlet
          (",Acipenser ruthenus,dnd1,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=25&RegProcess=0,"Tokushima University2272-1 Ishii, Myozai-gun, Tokushima 779-3233JP",Embryo edit,three gRNA using electroporation,No,No,CRISPR
Japan,"Pig
          (",Sus scrofa domesticus,CD163,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=8&RegProcess=0,"Regional Fish Institute, Ltd.JP",Embryo edit,Microinjection,No,No,CRISPR
Japan,"Red sea bream
          (",Pagrus major,LEPR,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=194&RegProcess=0,"Regional Fish Institute, Ltd.JP",Embryo edit,Microinjection,No,No,CRISPR
Japan,"Tiger pufferfish
          (",Takifugu rubripes,LEPR,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=193&RegProcess=0,"Norwegian University of Science and Technology, Department of BiologyTrondheim, N-7491NO",Embryo edit,Salmon eggs were fertilized with sperm in freshwater supplemented with 0.5?mM reduced glutathione at 6â8?Â°C43 and incubated at 6â8?Â°C for 2â3?h. Embryos were microinjected with 150?ng/Âµl of Cas9 mRNA and a mixture of two gRNAs each 50?ng/Âµl in Hepes buffer using the picospritzer III,No,No,CRISPR
Norway,"Atlantic Salmon
          (",Salmo salar,"Δ6fads2-a, Δ6fads2-b, Δ6fads2-c, Δ5fads2, slc45a2",https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=198&RegProcess=0,"Norwegian University of Science and Technology, Department of BiologyTrondheim, N-7491NO",Embryo edit,"Atlantic salmon eggs were fertilized with sperm in fresh water containing 0.5?mM reduced glutathione and incubated at 6â8?Â°C for 2â3?hours until the first cell was visible48. Eggs were held on concavities of plastic petri dish and injected with a mixture of 50?ng/Âµl gRNA each for slc45a2 and elovl2, and 150?ng/Âµl Cas9 mRNA in Hepes buffer using the picospritzer III",No,No,CRISPR
Norway,"Atlantic Salmon
          (",Salmo salar,"elovl2, slc45a2",https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=204&RegProcess=0,National Institute of Fisheries ScienceBusan 46083KR,Embryo edit,"The fertilized embryos were injected on a microinjection plate. gRNAs were microinjected at a final concentration of 1?Âµg/ÂµL together with 1â1.5?Âµg/ÂµL Cas9 mRNA, 200?mM KCl, and phenol red solution into 1-cell or 2-cell stage embryos",No,No,CRISPR
South Korea,"Olive flounder
          (",Paralichthys olivaceus,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=140&RegProcess=0,"Agricultural Technology Research InstituteXiangshan Dist., HsinchuTW",Embryo edit,Two single-guide RNAs targeting the CMAH gene and Cas9 mRNA were microinjected into the cytoplasm of newly fertilized eggs,No,No,CRISPR
Taiwan,"Pig
          (",Sus scrofa domesticus,CMAH,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=155&RegProcess=0,"University of MissouriColumbia, MissouriUS",Embryo edit,"Single guide RNA along with Cas9 mRNA, were co-injected into embryos",No,No,CRISPR
United States,"Pig
          (",Sus scrofa domesticus,ANPEP,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=146&RegProcess=0,"Department of Animal Sciences, The Ohio State UniversityColumbus, OH 43210US",Other,adenoviral CRISPR/Cas9 vector was directly injected into the quail blastoderm in newly laid eggs.,No,No,CRISPR
United States,"Quail
          (",Coturnix japonica,MLPH,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=73&RegProcess=0,"Yangzhou UniversityYangzhou, Jiangsu 225009CN",Embryo edit,A mixture of in vitro transcribed sgRNA (10 ng/Âµl)and Cas9 mRNA (40 ng/Âµl)was injected into the cytoplasm ofpronuclear stage embryos.,No,No,CRISPR
China,"Goat
          (",Capra hircus,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=62&RegProcess=0,Inner Mongolia UniversityHohhot 010021CN,Cloned cell line,"Cas9, MSTN knockout small guide RNA and fat-1 knockin vectors into goat fetal fibroblasts by electroporation,",Yes,No,CRISPR
China,"Goat
          (",Capra hircus,"MSTN, fat-1",https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=67&RegProcess=0,"South China Agricultural University, Guangzhou, China; Wens Foodstuff Group Co., Ltd.YunfuCN",Cloned cell line,we described the generation of a CD163 knockout (KO) pig in which the CD163 protein was ablated by using CRISPR/Cas9 gene targeting and somatic cell nuclear transfer (SCNT) technologie,No,No,CRISPR
China,"Pig
          (",Sus scrofa domesticus,CD163,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=149&RegProcess=0,"Jilin University, ChangchunJilin ProvinceCN",Cloned cell line,Approximately 30 mg ofpX330-sgRNA91 plasmid and 30 mgofdonor puc57-fat-1-KI plasmid were cotransfected into 3Â·106 PFFs using the BTX-ECM 2001 Electroporation system.,Yes,No,CRISPR
China,"Pig
          (",Sus scrofa domesticus,fat-1,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=157&RegProcess=0,"China Agricultural UniversityBeijing, 100193CN",Cloned cell line,Approximately 1?Ã?106?cells were transfected with 2?Âµg pX330 vector or 4?Âµg pX335 vector using the Amaxa â¢ Basic Nucleofectorâ¢ kit for Primary Mammalian Fibroblasts,No,No,CRISPR
China,"Pig
          (",Sus scrofa domesticus,FBXO40,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=158&RegProcess=0,"Chinese Academy of Sciences, BeijingCN",Embryo edit,"After confirming that the Cas9 nickase, mRNA, and sgRNAs were functional, we injected them into naturally fertilized Bama embryos and transferred total of 19 embryos into two recipients",No,No,CRISPR
China,"Pig
          (",Sus scrofa domesticus,IGF2,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=163&RegProcess=0,"Jilin University, ChangchunJilin ProvinceCN",Cloned cell line,,Yes,No,CRISPR
China,"Pig
          (",Sus scrofa domesticus,shRNAs,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=197&RegProcess=0,"Yangzhou UniversityYangzhou, Jiangsu 225009CN",Cloned cell line,"The unlabeled linearized plasmid containing MSTN was transfected into SEFs by exposing to a single pulse of 270 V for 80 seconds, applied by an electroporator",No,No,CRISPR
China,"Sheep
          (",Ovis aries,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=128&RegProcess=0,"Huazhong Agricultural UniversityWuhan, 437000, HubeiCN",Embryo edit,Cas9 mRNA (300?ng/mL) and gRNA (20?ng/mL) were co-injected into one-cell-stage embryos,Yes,No,CRISPR
China,"Yellow catfish
          (",Pelteobagrus fulvidraco,pfpdz1,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=143&RegProcess=0,"Department of Biological Sciences, Graduate School of Science, The University of TokyoBunkyo-ku, Tokyo 113-0033JP",Embryo edit,"microinjecting sgRNA and Cas9 protein into the region of zygote formation within 2 hr after queen oviposition, which allows one-step generation of biallelic knockout mutants in honeybee with high efficiency.",No,No,CRISPR
Japan,"Honeybee
          (",Apis mellifera,mKast,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=28&RegProcess=0,"Regional Fish Institute, Ltd.JP",Embryo edit,Microinjection.,No,No,CRISPR
Japan,"Red sea bream
          (",Pagrus major,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=139&RegProcess=0,"Seoul National University, Pyeongchang-gunGangwon-doKR",Other,"by combining the CRISPR-Cas9 platform and germ cell-mediated germline transmission, we generated G(0)/G(1) switch gene 2 ( G0S2) knockout (KO) chickens, and G0S2 null KO chickens showed a dramatic reduction of abdominal fat deposition without affecting other economic traits.",No,No,CRISPR
South Korea,"Chicken
          (",Gallus gallus,G0S2,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=78&RegProcess=0,University of Edinburgh (Roslin Institute) with GenusUK,Embryo edit,Microinjection of RNP,No,No,CRISPR
United Kingdom,"Pig
          (",Sus scrofa domesticus,CD163,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=147&RegProcess=0,"Auburn UniversityAuburn, AL 36849US",Embryo edit,Micrinjection,No,No,CRISPR
United States,"Channel catfish
          (",Ictalurus punctatus,"TICAM1, RBL",https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=93&RegProcess=0,"Nanjing Agricultural UniversityNanjing, JiangsuCN",Embryo edit,one-cell embryos were then co-injected with sgRNAs and different concentrations ofCas9 mRNA by cytoplasmic injection.,No,No,CRISPR
China,"Goat
          (",Capra hircus,BLG,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=56&RegProcess=0,"Northwest A&F UniversityYangling 712100, ShaanxiCN",Embryo edit,"In the present study we report that by co-injecting synthesised RNAs and single-stranded oligo deoxynucleotide (ssODN) donor sequences into goat zygotes, we successfully introduced defined point mutations resulting in single amino acid substitutions in the proteins as expected.",No,No,CRISPR
China,"Goat
          (",Capra hircus,GDF9,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=60&RegProcess=0,Guangdong Ocean UniversityZhanjiang 524088CN,Embryo edit,gRNA and Cas9 mRNA were co-injected into one-cell stage embryos,No,No,CRISPR
China,"Nile tilapia
          (",Oreochromis niloticus,"wt1a, wt1b",https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=1&RegProcess=0,Southwest University400715 ChongqingCN,Embryo edit,The gRNA and Cas9 mRNA were co-injected into one-cell stage embryos,No,No,CRISPR
China,"Nile tilapia
          (",Oreochromis niloticus,eEF1A1b,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=105&RegProcess=0,"Northwest A&F UniversityYangling 712100, ShaanxiCN",Cloned cell line,PFFs at low passages were electroporated with 20 Âµg Cas9/gRNA-1 and 20 Âµg Cas9/gRNA-2 using BTX ECM 2001 square-wave electroporator,No,No,CRISPR
China,"Pig
          (",Sus scrofa domesticus,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=173&RegProcess=0,"State Key Laboratory of Stem Cell and Reproductive Biology, Chinese Academy of SciencesChaoyang District, BeijingCN",Cloned cell line,Mouse adiponectin-UCP1 knocked into the porcine endogenous UCP1 locus.,Yes,No,CRISPR
China,"Pig
          (",Sus scrofa domesticus,UCP1,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=188&RegProcess=0,"Shenzhen Xenotransplantation Medical Engineering Research and Development Center, Shenzhen Second People's Hospital, First Affiliated Hospital of Shenzhen UniversityShenzhen 518035CN",Cloned cell line,,No,No,CRISPR
China,"Pig
          (",Sus scrofa domesticus,"GGTA1, CMAH",https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=191&RegProcess=0,"China Agricultural UniversityBeijing, 100193CN",Embryo edit,,Yes,No,CRISPR
China,"Sheep
          (",Ovis aries,"AANAT, ASMT",https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=3&RegProcess=0,"Ministry of Agriculture (MOA), Key Laboratory of Animal BiotechnologyUrumqi, Xinjiang, 830026CN",Embryo edit,cytoplasm microinjection of sgRNA/Cas9,No,No,CRISPR
China,"Sheep
          (",Ovis aries,ASIP,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=122&RegProcess=0,"Beijing Key Laboratory for Animal Genetic Improvement, China Agricultural UniversityBeijingCN",Embryo edit,cytoplasmic injection of Cas9 mRNA and sgRNA into zygotes,No,No,CRISPR
China,"Sheep
          (",Ovis aries,FGF5,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=125&RegProcess=0,"College of Life Science and Technology, Xinjiang UniversityUrumqiCN",Embryo edit,,No,No,CRISPR
China,"Sheep
          (",Ovis aries,FGF5,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=126&RegProcess=0,"Institute of Agrobiological Sciences, NAROIkenodai 2, Tsukuba, Ibaraki, 305-8602JP",Cloned cell line,donor DNA that contained a synonymous codon for the correct amino acid and an Aequorea coerulescens Green Fluorescent Protein (AcGFP) cassette with a piggyBac transposase recognition site,Yes,No,CRISPR
Japan,"Cattle
          (",Bos taurus,IARS,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=38&RegProcess=0,"Auburn UniversityAuburn, AL 36849US",Embryo edit,Fertilized eggs were injected according to the procedures for zygote injection. One-cell embryos were injected through 15â90?minutes post-fertilization and just before the beginning of the first cell division,No,No,CRISPR
